player_name,plus_minus,eFG_avg,winning_perct,total_games,pts,Score,year_count,plus_minus_x,eFG_avg_x,winning_perct_x,total_games_x,pts_x,Score_x,year_count_x,plus_minus_y,eFG_avg_y,winning_perct_y,total_games_y,pts_y,Score_y,year_count_y,total_year_count,total_score,avg_score,Rank
Paul George,6.363636363636362,52.850061957868654,59.74025974025975,77,28.03896104,38.46381419138924,1,8.592592592592592,60.421286031042136,70.37037037037038,27,23.464285714285715,36.20055960299863,1,5.375,53.9002557544757,70.83333333333334,48,21.52083333333333,33.67298060528559,1,3,34.41803808413338,11.472679361377793,14
Donovan Mitchell,4.779220779220778,49.34640522875817,63.63636363636363,77,23.75324675,34.815172733812915,1,5.647058823529411,50.36549707602339,73.52941176470588,34,24.75,34.229609563123496,1,1.608695652173913,51.30402384500746,62.31884057971014,69,23.98550724637681,34.18542625110693,1,3,34.22575023764554,11.408583412548515,15
Kyrie Irving,4.865671641791045,55.6809024979855,55.22388059701493,67,23.82089552,35.540374876794885,1,7.8076923076923075,58.254269449715366,69.23076923076923,26,27.357142857142854,37.6913146151761,1,-0.35,54.56730769230769,40.0,20,27.4,32.99432692307692,1,3,34.06102685918265,11.353675619727548,16
Trae Young,-4.1234567901234565,48.00955414012739,35.80246913580247,81,19.12345679,28.285721868291105,1,3.0882352941176467,49.91803278688526,47.058823529411754,34,26.722222222222214,33.33784153005465,1,-3.8,51.92153722978383,30.0,60,29.63333333333333,34.31038430744596,1,3,33.814642630009956,11.271547543336652,17
Pascal Siakam,7.425,59.1005291005291,71.25,80,16.925,34.348882275132276,1,2.2666666666666666,48.97959183673471,46.66666666666666,30,20.066666666666666,28.684897959183676,1,6.633333333333334,51.22282608695653,76.66666666666667,60,22.85,35.0073731884058,1,3,33.7099535968977,11.2366511989659,18
Rudy Gobert,4.666666666666667,66.85393258426967,61.72839506172839,81,15.85185185,34.527680675820505,1,8.861111111111109,64.05228758169935,75.0,36,14.26315789473684,32.33624441004472,1,4.294117647058823,69.29982046678636,61.764705882352935,68,15.088235294117649,33.93966099904953,1,3,33.64837866508712,11.216126221695708,19
Russell Westbrook,3.9726027397260273,46.80923285811271,60.273972602739725,73,22.94520548,33.12628081759667,1,-4.5,46.09375000000001,35.714285714285715,28,21.133333333333333,26.26415178571429,1,2.2105263157894743,49.297423887587826,63.157894736842096,57,27.24561403508772,35.23225070873906,1,3,33.333332429576984,11.111110809858994,20
CJ McCollum,4.985714285714286,52.65486725663718,61.42857142857143,70,20.97142857,33.56443109901644,1,4.615384615384615,59.42307692307693,61.53846153846154,13,26.69230769230769,35.75192307692308,1,0.2,52.21238938053098,48.57142857142857,70,22.228571428571424,32.368811630847034,1,3,33.105214893470716,11.035071631156905,21
Zach LaVine,-4.7936507936507935,51.98237885462555,25.396825396825395,63,23.68253968,30.426547093084963,1,-1.5,61.46926536731634,47.058823529411754,34,28.472222222222214,36.128590851633,1,-3.1666666666666665,52.627189324437026,33.33333333333333,60,25.5,32.33179733110926,1,3,32.99589352331279,10.998631174437596,22
Jaylen Brown,0.9324324324324323,52.462121212121204,55.405405405405396,74,13.02702703,27.63512489940868,1,1.0,55.68181818181818,51.51515151515152,33,24.35294117647059,33.007976827094474,1,4.017543859649122,55.41149943630214,66.66666666666666,57,20.33333333333333,33.24059415732115,1,3,32.91379722838019,10.971265742793397,23
Karl-Anthony Towns,0.6883116883116883,57.229832572298314,44.15584415584416,77,24.41558442,35.18667892494471,1,-2.3125,55.29411764705882,18.75,16,22.33333333333333,28.382904411764702,1,-0.42857142857142855,59.96784565916398,28.57142857142857,35,26.457142857142852,33.937675700505274,1,3,32.88917160397913,10.963057201326377,24
Bojan Bogdanovic,2.185185185185185,57.46907706945765,58.024691358024704,81,17.95061728,32.635170499561944,1,5.666666666666668,54.48275862068965,75.0,36,15.526315789473689,29.903145795523294,1,4.190476190476192,54.812834224598944,65.07936507936508,63,20.238095238095237,33.29765300059418,1,3,32.58562743452839,10.861875811509464,25
Montrezl Harrell,0.32926829268292684,61.655405405405396,58.536585365853654,82,16.59756098,32.48153428081476,1,1.945945945945946,62.574850299401206,64.86486486486487,37,13.894736842105265,29.56028440984319,1,4.0,58.0049261083744,69.84126984126982,63,18.61904761904762,33.314723590585665,1,3,32.52217628894863,10.840725429649543,26
